copyright,last_modified,list_name,bestsellers_date,published_date,rank,weeks_on_list,primary_isbn10,primary_isbn13,publisher,description,price,title,author,book_image,amazon_product_url,title_lower
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,1,1,0964729237,9.78096E+12,Windblown Media,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",14.99,THE SHACK,William P Young,https://storage.googleapis.com/du-prd/books/images/9780964729230.jpg,http://www.amazon.com/The-Shack-Tragedy-Confronts-Eternity/dp/0964729237?tag=thenewyorktim-20,the shack
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,2,38,1565125606,9.78157E+12,Algonquin,A young man  and an elephant  save a Depression-era circus.,13.95,WATER FOR ELEPHANTS,Sara Gruen,https://storage.googleapis.com/du-prd/books/images/9781616200718.jpg,http://www.amazon.com/Water-Elephants-Sara-Gruen/dp/1616200715?tag=thenewyorktim-20,water for elephants
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,3,21,0425219097,9.78043E+12,Berkley,A group of women meet weekly at a New York City yarn shop.,14,THE FRIDAY NIGHT KNITTING CLUB,Kate Jacobs,https://storage.googleapis.com/du-prd/books/images/9780425219096.jpg,http://www.amazon.com/The-Friday-Night-Knitting-Club/dp/0425219097?tag=thenewyorktim-20,the friday night knitting club
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,4,16,0743496728,9.78074E+12,Washington Square,The aftermath of a high school shooting reveals the fault lines in a small New Hampshire town.,15,NINETEEN MINUTES,Jodi Picoult,https://storage.googleapis.com/du-prd/books/images/9780743496728.jpg,http://www.amazon.com/Nineteen-Minutes-novel-Jodi-Picoult/dp/1476729719?tag=thenewyorktim-20,nineteen minutes
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,5,38,1594481776,9.78159E+12,Riverhead,An Afghan-American returns to Kabul to learn how a childhood friend has fared.,15.95,THE KITE RUNNER,Khaled Hosseini,https://storage.googleapis.com/du-prd/books/images/9781594631931.jpg,http://www.amazon.com/The-Kite-Runner-10th-Anniversary/dp/159463193X?tag=thenewyorktim-20,the kite runner
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,6,37,0061122416,9.78006E+12,HarperOne,A Spanish shepherd boy travels to Egypt in search of treasure.,13.95,THE ALCHEMIST,Paulo Coelho,https://storage.googleapis.com/du-prd/books/images/9780061122415.jpg,http://www.amazon.com/Alchemist-Paulo-Coelho/dp/0062315005?tag=thenewyorktim-20,the alchemist
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,7,38,0143037145,9.78014E+12,Penguin,"A doctor's decision to secretly send his newborn daughter, who has Down syndrome, to an institution haunts everyone involved.",14,THE MEMORY KEEPER’S DAUGHTER,Kim Edwards,https://storage.googleapis.com/du-prd/books/images/9780143037149.jpg,http://www.amazon.com/The-Memory-Keepers-Daughter-Novel/dp/0143037145?tag=thenewyorktim-20,the memory keeper’s daughter
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,8,4,0345495004,9.78035E+12,Harper Perennial,A detective investigates a neighbor's murder in a Jewish settlement in Alaska.,15.95,THE YIDDISH POLICEMEN’S UNION,Michael Chabon,https://storage.googleapis.com/du-prd/books/images/9780345495006.jpg,http://www.amazon.com/Loving-Frank-Novel-Nancy-Horan/dp/0345495004?tag=thenewyorktim-20,the yiddish policemen’s union
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,9,3,1401309577,9.7814E+12,Anchor,The “oral biography” of a serial killer.,13.95,RANT,Chuck Palahniuk,https://storage.googleapis.com/du-prd/books/images/9781401309572.jpg,http://www.amazon.com/For-One-More-Mitch-Albom/dp/1401309577?tag=thenewyorktim-20,rant
Copyright (c) 2024 The New York Times Company.  All Rights Reserved.,2019-08-29T20:54:03-04:00,Trade Fiction Paperback,5/24/08,6/8/08,10,3,0743454537,9.78074E+12,Riverhead,The bond between two sisters is tested by a romance with an old friend.,14,THE LAST SUMMER (OF YOU AND ME),Ann Brashares,https://storage.googleapis.com/du-prd/books/images/9780743454537.jpg,http://www.amazon.com/My-Sisters-Keeper-Novel-Readers/dp/0743454537?tag=thenewyorktim-20,the last summer (of you and me)
