fiction,Younger audiences,self improvement,graphic novels/manga,nonfiction,other
Hardcover Fiction,Picture Books,Hardcover Advice,Hardcover Graphic Books,Hardcover Nonfiction,Mass Market Paperback
Combined Print Fiction,Chapter Books,Paperback Advice,Manga,Paperback Nonfiction,Mass Market Monthly
E-Book Fiction,Young Adult,Advice How-To and Miscellaneous,Paperback Graphic Books,Combined Print Nonfiction,Humor
Combined Print and E-Book Fiction,Childrens Middle Grade,Relationships,Graphic Books and Manga,E-Book Nonfiction,Paperback Books
Trade Fiction Paperback,Middle Grade Paperback Monthly,Religion Spirituality and Faith,In data set,Combined Print and E-Book Nonfiction,Games and Activities
Audio Fiction,Young Adult Paperback Monthly,Paperback Business Books,,Race and Civil Rights,Crime and Punishment
Espionage,Childrens Middle Grade E-Book,Hardcover Business Books,,Hardcover Political Books,Animals
Series Books,Childrens Middle Grade Hardcover,Food and Fitness,,Science,In data set
In data set,Childrens Middle Grade Paperback,Business Books,,Audio Nonfiction,
,Young Adult E-Book,Fashion Manners and Customs,,Sports,
,Young Adult Hardcover,Family,,Celebrities,
,Young Adult Paperback,Health,,Travel,
,In data set,Education,,Expeditions Disasters and Adventures,
,,In data set,,Indigenous Americans,
,,,,Culture,
,,,,In data set,
