"","published_date","list_name","list_name_encoded","rank","isbn13","isbn10","title","author","description","amazon_product_url","price","weeks_on_list"
"5879","2011-06-19","Combined Print and E-Book Fiction","combined-print-and-e-book-fiction","4","9780990695196","","SUMMER SECRETS","Barbara Freethy","Three sailboat-racing sisters close ranks against a tenacious reporter who digs into a devastating secret from their past.","https://www.amazon.com/Summer-Secrets-Barbara-Freethy-ebook/dp/B003K15AKQ?tag=NYTBS-20","0","1"
"6090","2011-07-03","E-Book Fiction","e-book-fiction","5","9780990695196","","SUMMER SECRETS","Barbara Freethy","Three sailboat-racing sisters close ranks against a tenacious reporter who digs into a devastating secret from their past.","https://www.amazon.com/Summer-Secrets-Barbara-Freethy-ebook/dp/B003K15AKQ?tag=NYTBS-20","0","3"
"45105","2016-09-04","Childrens Middle Grade E-Book","childrens-middle-grade-e-book","5","2940149195220","None","THE FEATHER CHASE","Shannon L Brown","","https://www.amazon.com/gp/search?index=books&tag=NYTBS-20&field-keywords=THE+FEATHER+CHASE+Shannon+L+Brown","0","1"
"14810","2012-12-30","E-Book Nonfiction","e-book-nonfiction","5","9780007279753","0007279752","DAMAGED","Cathy Glass","An account, first published in 2007, of a foster mother who tries to save a violent and aggressive 8-year-old girl whose parents were involved in a pedophile ring.","https://www.amazon.com/Damaged-Heartbreaking-Story-Forgotten-Child-ebook/dp/B002RI9TWI?tag=NYTBS-20","0","5"
"15612","2013-02-17","E-Book Nonfiction","e-book-nonfiction","2","9780007283828","None","CRY SILENT TEARS","Joe Peters","The story of a boy subjected to violence and sexual abuse who became mute for several years but eventually escaped his family; originally published in 2008.","https://www.amazon.com/Cry-Silent-Tears-Joe-Peters-ebook/dp/B002RI9F1I?tag=NYTBS-20","0","2"
"9670","2012-02-05","Picture Books","picture-books","5","9780060266837","006026683X","IF YOU GIVE A DOG A DONUT","Laura Numeroff","“He’ll ask for some apple juice to go with it,” for starters.","https://www.amazon.com/If-You-Give-Dog-Donut/dp/006026683X?tag=NYTBS-20","16.99","16"
"47755","2016-11-27","Picture Books","picture-books","5","9780060275716","0060275715","IF YOU GIVE A MOUSE A BROWNIE","Laura Numeroff","Mouse returns, leading his host on an adventure through the neighborhood.","https://www.amazon.com/You-Give-Mouse-Brownie-Books/dp/0060275715?tag=NYTBS-20","0","4"
"2998","2010-10-24","Picture Books","picture-books","3","9780060290160","0060290161","MY MOMMY HUNG THE MOON","Jamie Lee Curtis","A child waxes poetic about Mom’s amazing achievements.","https://www.amazon.com/My-Mommy-Hung-Moon-Story/dp/0060290161?tag=NYTBS-20","16.99","5"
"8443","2011-11-20","Paperback Books","paperback-books","3","9780060530945","0060530944","THE GRAVEYARD BOOK","Neil Gaiman","To avoid a killer, a boy lives in a cemetery.","https://www.amazon.com/The-Graveyard-Book-Neil-Gaiman/dp/0060530928?tag=NYTBS-20","7.99","22"
"18255","2013-08-04","Childrens Middle Grade","childrens-middle-grade","5","9780060530945","0060530944","THE GRAVEYARD BOOK","Neil Gaiman","To avoid a killer, a boy lives in a cemetery. ","https://www.amazon.com/The-Graveyard-Book-Neil-Gaiman/dp/0060530928?tag=NYTBS-20","0","1"
